

============NAO.ENTREGA===========
PERIODO	LOCAL	PRODUTO	QUANTIDADE
[1]	[C1]	[Y1]:	31.00
[1]	[C1]	[Y2]:	14.00
[1]	[C1]	[Y5]:	26.00
[1]	[C1]	[Y9]:	14.00
[1]	[C2]	[Y1]:	5.00
[1]	[C2]	[Y2]:	2.00
[1]	[C2]	[Y5]:	6.00
[1]	[C2]	[Y9]:	1.00
[1]	[C3]	[Y1]:	2.00
[1]	[C3]	[Y2]:	1.00
[1]	[C3]	[Y5]:	1.00
[1]	[C3]	[Y9]:	1.00
[2]	[C1]	[Y1]:	31.00
[2]	[C1]	[Y2]:	14.00
[2]	[C1]	[Y5]:	26.00
[2]	[C1]	[Y9]:	14.00
[2]	[C2]	[Y1]:	5.00
[2]	[C2]	[Y2]:	2.00
[2]	[C2]	[Y5]:	6.00
[2]	[C2]	[Y9]:	1.00
[2]	[C3]	[Y1]:	2.00
[2]	[C3]	[Y2]:	1.00
[2]	[C3]	[Y5]:	1.00
[2]	[C3]	[Y9]:	1.00
[3]	[C1]	[Y1]:	31.00
[3]	[C1]	[Y2]:	14.00
[3]	[C1]	[Y5]:	26.00
[3]	[C1]	[Y9]:	14.00
[3]	[C2]	[Y1]:	5.00
[3]	[C2]	[Y2]:	2.00
[3]	[C2]	[Y5]:	6.00
[3]	[C2]	[Y9]:	1.00
[3]	[C3]	[Y1]:	2.00
[3]	[C3]	[Y2]:	1.00
[3]	[C3]	[Y5]:	1.00
[3]	[C3]	[Y9]:	1.00
[4]	[C1]	[Y1]:	31.00
[4]	[C1]	[Y2]:	14.00
[4]	[C1]	[Y5]:	26.00
[4]	[C1]	[Y9]:	14.00
[4]	[C2]	[Y1]:	5.00
[4]	[C2]	[Y2]:	2.00
[4]	[C2]	[Y5]:	6.00
[4]	[C2]	[Y9]:	1.00
[4]	[C3]	[Y1]:	2.00
[4]	[C3]	[Y2]:	1.00
[4]	[C3]	[Y5]:	1.00
[4]	[C3]	[Y9]:	1.00
[5]	[C1]	[Y1]:	31.00
[5]	[C1]	[Y2]:	14.00
[5]	[C1]	[Y5]:	26.00
[5]	[C1]	[Y9]:	14.00
[5]	[C2]	[Y1]:	5.00
[5]	[C2]	[Y2]:	2.00
[5]	[C2]	[Y5]:	6.00
[5]	[C2]	[Y9]:	1.00
[5]	[C3]	[Y1]:	2.00
[5]	[C3]	[Y2]:	1.00
[5]	[C3]	[Y5]:	1.00
[5]	[C3]	[Y9]:	1.00
[6]	[C1]	[Y1]:	31.00
[6]	[C1]	[Y2]:	14.00
[6]	[C1]	[Y5]:	26.00
[6]	[C1]	[Y9]:	14.00
[6]	[C2]	[Y1]:	5.00
[6]	[C2]	[Y2]:	2.00
[6]	[C2]	[Y5]:	6.00
[6]	[C2]	[Y9]:	1.00
[6]	[C3]	[Y1]:	2.00
[6]	[C3]	[Y2]:	1.00
[6]	[C3]	[Y5]:	1.00
[6]	[C3]	[Y9]:	1.00
[7]	[C1]	[Y1]:	31.00
[7]	[C1]	[Y2]:	14.00
[7]	[C1]	[Y5]:	26.00
[7]	[C1]	[Y9]:	14.00
[7]	[C2]	[Y1]:	5.00
[7]	[C2]	[Y2]:	2.00
[7]	[C2]	[Y5]:	6.00
[7]	[C2]	[Y9]:	1.00
[7]	[C3]	[Y1]:	2.00
[7]	[C3]	[Y2]:	1.00
[7]	[C3]	[Y5]:	1.00
[7]	[C3]	[Y9]:	1.00
[8]	[C1]	[Y1]:	31.00
[8]	[C1]	[Y2]:	14.00
[8]	[C1]	[Y5]:	26.00
[8]	[C1]	[Y9]:	14.00
[8]	[C2]	[Y1]:	5.00
[8]	[C2]	[Y2]:	2.00
[8]	[C2]	[Y5]:	6.00
[8]	[C2]	[Y9]:	1.00
[8]	[C3]	[Y1]:	2.00
[8]	[C3]	[Y2]:	1.00
[8]	[C3]	[Y5]:	1.00
[8]	[C3]	[Y9]:	1.00
[9]	[C1]	[Y1]:	31.00
[9]	[C1]	[Y2]:	14.00
[9]	[C1]	[Y5]:	26.00
[9]	[C1]	[Y9]:	14.00
[9]	[C2]	[Y1]:	5.00
[9]	[C2]	[Y2]:	2.00
[9]	[C2]	[Y5]:	6.00
[9]	[C2]	[Y9]:	1.00
[9]	[C3]	[Y1]:	2.00
[9]	[C3]	[Y2]:	1.00
[9]	[C3]	[Y5]:	1.00
[9]	[C3]	[Y9]:	1.00
[10]	[C1]	[Y1]:	31.00
[10]	[C1]	[Y2]:	14.00
[10]	[C1]	[Y5]:	26.00
[10]	[C1]	[Y9]:	14.00
[10]	[C2]	[Y1]:	5.00
[10]	[C2]	[Y2]:	2.00
[10]	[C2]	[Y5]:	6.00
[10]	[C2]	[Y9]:	1.00
[10]	[C3]	[Y1]:	2.00
[10]	[C3]	[Y2]:	1.00
[10]	[C3]	[Y5]:	1.00
[10]	[C3]	[Y9]:	1.00
[11]	[C1]	[Y1]:	31.00
[11]	[C1]	[Y2]:	14.00
[11]	[C1]	[Y5]:	26.00
[11]	[C1]	[Y9]:	14.00
[11]	[C2]	[Y1]:	5.00
[11]	[C2]	[Y2]:	2.00
[11]	[C2]	[Y5]:	6.00
[11]	[C2]	[Y9]:	1.00
[11]	[C3]	[Y1]:	2.00
[11]	[C3]	[Y2]:	1.00
[11]	[C3]	[Y5]:	1.00
[11]	[C3]	[Y9]:	1.00
[12]	[C1]	[Y1]:	31.00
[12]	[C1]	[Y2]:	14.00
[12]	[C1]	[Y5]:	26.00
[12]	[C1]	[Y9]:	14.00
[12]	[C2]	[Y1]:	5.00
[12]	[C2]	[Y2]:	2.00
[12]	[C2]	[Y5]:	6.00
[12]	[C2]	[Y9]:	1.00
[12]	[C3]	[Y1]:	2.00
[12]	[C3]	[Y2]:	1.00
[12]	[C3]	[Y5]:	1.00
[12]	[C3]	[Y9]:	1.00
