

=============PRODUCAO=============
PERIODO	LOCAL	PRODUTO	QUANTIDADE
[1]	[F1]	[Y3]:	57.00
[1]	[F1]	[Y4]:	27.00
[1]	[F1]	[Y6]:	17.00
[1]	[F1]	[Y7]:	36.00
[1]	[F1]	[Y8]:	26.00
[1]	[F1]	[Y10]:	49.00
[2]	[F1]	[Y3]:	57.00
[2]	[F1]	[Y4]:	27.00
[2]	[F1]	[Y6]:	17.00
[2]	[F1]	[Y7]:	36.00
[2]	[F1]	[Y8]:	26.00
[2]	[F1]	[Y10]:	49.00
[3]	[F1]	[Y3]:	57.00
[3]	[F1]	[Y4]:	27.00
[3]	[F1]	[Y6]:	17.00
[3]	[F1]	[Y7]:	36.00
[3]	[F1]	[Y8]:	26.00
[3]	[F1]	[Y10]:	49.00
[4]	[F1]	[Y3]:	57.00
[4]	[F1]	[Y4]:	27.00
[4]	[F1]	[Y6]:	17.00
[4]	[F1]	[Y7]:	36.00
[4]	[F1]	[Y8]:	26.00
[4]	[F1]	[Y10]:	49.00
[5]	[F1]	[Y3]:	57.00
[5]	[F1]	[Y4]:	27.00
[5]	[F1]	[Y6]:	17.00
[5]	[F1]	[Y7]:	36.00
[5]	[F1]	[Y8]:	26.00
[5]	[F1]	[Y10]:	49.00
[6]	[F1]	[Y3]:	57.00
[6]	[F1]	[Y4]:	27.00
[6]	[F1]	[Y6]:	17.00
[6]	[F1]	[Y7]:	36.00
[6]	[F1]	[Y8]:	26.00
[6]	[F1]	[Y10]:	49.00
[7]	[F1]	[Y3]:	57.00
[7]	[F1]	[Y4]:	27.00
[7]	[F1]	[Y6]:	17.00
[7]	[F1]	[Y7]:	36.00
[7]	[F1]	[Y8]:	26.00
[7]	[F1]	[Y10]:	49.00
[8]	[F1]	[Y3]:	57.00
[8]	[F1]	[Y4]:	27.00
[8]	[F1]	[Y6]:	17.00
[8]	[F1]	[Y7]:	36.00
[8]	[F1]	[Y8]:	26.00
[8]	[F1]	[Y10]:	49.00
[9]	[F1]	[Y3]:	57.00
[9]	[F1]	[Y4]:	27.00
[9]	[F1]	[Y6]:	17.00
[9]	[F1]	[Y7]:	36.00
[9]	[F1]	[Y8]:	26.00
[9]	[F1]	[Y10]:	49.00
[10]	[F1]	[Y3]:	57.00
[10]	[F1]	[Y4]:	27.00
[10]	[F1]	[Y6]:	17.00
[10]	[F1]	[Y7]:	36.00
[10]	[F1]	[Y8]:	26.00
[10]	[F1]	[Y10]:	49.00
[11]	[F1]	[Y3]:	57.00
[11]	[F1]	[Y4]:	27.00
[11]	[F1]	[Y6]:	17.00
[11]	[F1]	[Y7]:	36.00
[11]	[F1]	[Y8]:	26.00
[11]	[F1]	[Y10]:	49.00
[12]	[F1]	[Y3]:	57.00
[12]	[F1]	[Y4]:	27.00
[12]	[F1]	[Y6]:	17.00
[12]	[F1]	[Y7]:	36.00
[12]	[F1]	[Y8]:	26.00
[12]	[F1]	[Y10]:	49.00
