

===========TRANSPORTE DE PROD. ACAB===============
PERIODO	MODAL	LOCAL	LOCAL	PRODUTO	QUANTIDADE
[6]	[M1]	[F1]	[C2]	[Y3]:	15.00
[6]	[M1]	[F1]	[C2]	[Y4]:	5.00
[6]	[M1]	[F1]	[C2]	[Y6]:	7.00
[6]	[M1]	[F1]	[C2]	[Y7]:	8.00
[6]	[M1]	[F1]	[C2]	[Y8]:	4.00
[6]	[M1]	[F1]	[C2]	[Y10]:	11.00
[6]	[M4]	[F1]	[C3]	[Y3]:	1.00
[6]	[M4]	[F1]	[C3]	[Y4]:	3.00
[6]	[M4]	[F1]	[C3]	[Y6]:	1.00
[6]	[M4]	[F1]	[C3]	[Y7]:	1.00
[6]	[M4]	[F1]	[C3]	[Y8]:	1.00
[6]	[M4]	[F1]	[C3]	[Y10]:	1.00
[7]	[M1]	[F1]	[C1]	[Y3]:	41.00
[7]	[M1]	[F1]	[C1]	[Y4]:	19.00
[7]	[M1]	[F1]	[C1]	[Y6]:	9.00
[7]	[M1]	[F1]	[C1]	[Y7]:	27.00
[7]	[M1]	[F1]	[C1]	[Y8]:	21.00
[7]	[M1]	[F1]	[C1]	[Y10]:	37.00
[7]	[M1]	[F1]	[C2]	[Y3]:	15.00
[7]	[M1]	[F1]	[C2]	[Y4]:	5.00
[7]	[M1]	[F1]	[C2]	[Y6]:	7.00
[7]	[M1]	[F1]	[C2]	[Y7]:	8.00
[7]	[M1]	[F1]	[C2]	[Y8]:	4.00
[7]	[M1]	[F1]	[C2]	[Y10]:	11.00
[7]	[M4]	[F1]	[C3]	[Y3]:	1.00
[7]	[M4]	[F1]	[C3]	[Y4]:	3.00
[7]	[M4]	[F1]	[C3]	[Y6]:	1.00
[7]	[M4]	[F1]	[C3]	[Y7]:	1.00
[7]	[M4]	[F1]	[C3]	[Y8]:	1.00
[7]	[M4]	[F1]	[C3]	[Y10]:	1.00
[8]	[M1]	[F1]	[C1]	[Y3]:	41.00
[8]	[M1]	[F1]	[C1]	[Y4]:	19.00
[8]	[M1]	[F1]	[C1]	[Y6]:	9.00
[8]	[M1]	[F1]	[C1]	[Y7]:	27.00
[8]	[M1]	[F1]	[C1]	[Y8]:	21.00
[8]	[M1]	[F1]	[C1]	[Y10]:	37.00
[8]	[M1]	[F1]	[C2]	[Y3]:	15.00
[8]	[M1]	[F1]	[C2]	[Y4]:	5.00
[8]	[M1]	[F1]	[C2]	[Y6]:	7.00
[8]	[M1]	[F1]	[C2]	[Y7]:	8.00
[8]	[M1]	[F1]	[C2]	[Y8]:	4.00
[8]	[M1]	[F1]	[C2]	[Y10]:	11.00
[8]	[M4]	[F1]	[C3]	[Y3]:	1.00
[8]	[M4]	[F1]	[C3]	[Y4]:	3.00
[8]	[M4]	[F1]	[C3]	[Y6]:	1.00
[8]	[M4]	[F1]	[C3]	[Y7]:	1.00
[8]	[M4]	[F1]	[C3]	[Y8]:	1.00
[8]	[M4]	[F1]	[C3]	[Y10]:	1.00
[9]	[M1]	[F1]	[C1]	[Y3]:	41.00
[9]	[M1]	[F1]	[C1]	[Y4]:	19.00
[9]	[M1]	[F1]	[C1]	[Y6]:	9.00
[9]	[M1]	[F1]	[C1]	[Y7]:	27.00
[9]	[M1]	[F1]	[C1]	[Y8]:	21.00
[9]	[M1]	[F1]	[C1]	[Y10]:	37.00
[9]	[M1]	[F1]	[C2]	[Y3]:	15.00
[9]	[M1]	[F1]	[C2]	[Y4]:	5.00
[9]	[M1]	[F1]	[C2]	[Y6]:	7.00
[9]	[M1]	[F1]	[C2]	[Y7]:	8.00
[9]	[M1]	[F1]	[C2]	[Y8]:	4.00
[9]	[M1]	[F1]	[C2]	[Y10]:	11.00
[9]	[M4]	[F1]	[C3]	[Y3]:	1.00
[9]	[M4]	[F1]	[C3]	[Y4]:	3.00
[9]	[M4]	[F1]	[C3]	[Y6]:	1.00
[9]	[M4]	[F1]	[C3]	[Y7]:	1.00
[9]	[M4]	[F1]	[C3]	[Y8]:	1.00
[9]	[M4]	[F1]	[C3]	[Y10]:	1.00
[10]	[M1]	[F1]	[C1]	[Y3]:	41.00
[10]	[M1]	[F1]	[C1]	[Y4]:	19.00
[10]	[M1]	[F1]	[C1]	[Y6]:	9.00
[10]	[M1]	[F1]	[C1]	[Y7]:	27.00
[10]	[M1]	[F1]	[C1]	[Y8]:	21.00
[10]	[M1]	[F1]	[C1]	[Y10]:	37.00
[10]	[M1]	[F1]	[C2]	[Y3]:	15.00
[10]	[M1]	[F1]	[C2]	[Y4]:	5.00
[10]	[M1]	[F1]	[C2]	[Y6]:	7.00
[10]	[M1]	[F1]	[C2]	[Y7]:	8.00
[10]	[M1]	[F1]	[C2]	[Y8]:	4.00
[10]	[M1]	[F1]	[C2]	[Y10]:	11.00
[10]	[M4]	[F1]	[C3]	[Y3]:	1.00
[10]	[M4]	[F1]	[C3]	[Y4]:	3.00
[10]	[M4]	[F1]	[C3]	[Y6]:	1.00
[10]	[M4]	[F1]	[C3]	[Y7]:	1.00
[10]	[M4]	[F1]	[C3]	[Y8]:	1.00
[10]	[M4]	[F1]	[C3]	[Y10]:	1.00
[11]	[M1]	[F1]	[C1]	[Y3]:	41.00
[11]	[M1]	[F1]	[C1]	[Y4]:	19.00
[11]	[M1]	[F1]	[C1]	[Y6]:	9.00
[11]	[M1]	[F1]	[C1]	[Y7]:	27.00
[11]	[M1]	[F1]	[C1]	[Y8]:	21.00
[11]	[M1]	[F1]	[C2]	[Y3]:	15.00
[11]	[M1]	[F1]	[C2]	[Y4]:	5.00
[11]	[M1]	[F1]	[C2]	[Y6]:	7.00
[11]	[M1]	[F1]	[C2]	[Y7]:	8.00
[11]	[M1]	[F1]	[C2]	[Y8]:	4.00
[11]	[M1]	[F1]	[C2]	[Y10]:	11.00
[11]	[M1]	[F1]	[C3]	[Y3]:	1.00
[11]	[M1]	[F1]	[C3]	[Y4]:	3.00
[11]	[M1]	[F1]	[C3]	[Y6]:	1.00
[11]	[M1]	[F1]	[C3]	[Y7]:	1.00
[11]	[M1]	[F1]	[C3]	[Y8]:	1.00
[11]	[M1]	[F1]	[C3]	[Y10]:	1.00
[11]	[M2]	[F1]	[C1]	[Y10]:	37.00
[12]	[M1]	[F1]	[C1]	[Y3]:	41.00
[12]	[M1]	[F1]	[C1]	[Y4]:	19.00
[12]	[M1]	[F1]	[C1]	[Y6]:	9.00
[12]	[M1]	[F1]	[C1]	[Y7]:	27.00
[12]	[M1]	[F1]	[C1]	[Y8]:	21.00
[12]	[M1]	[F1]	[C1]	[Y10]:	37.00
[12]	[M1]	[F1]	[C2]	[Y3]:	15.00
[12]	[M1]	[F1]	[C2]	[Y4]:	5.00
[12]	[M1]	[F1]	[C2]	[Y6]:	7.00
[12]	[M1]	[F1]	[C2]	[Y7]:	8.00
[12]	[M1]	[F1]	[C2]	[Y8]:	4.00
[12]	[M1]	[F1]	[C2]	[Y10]:	11.00
[12]	[M1]	[F1]	[C3]	[Y3]:	1.00
[12]	[M1]	[F1]	[C3]	[Y4]:	3.00
[12]	[M1]	[F1]	[C3]	[Y6]:	1.00
[12]	[M1]	[F1]	[C3]	[Y7]:	1.00
[12]	[M1]	[F1]	[C3]	[Y8]:	1.00
[12]	[M1]	[F1]	[C3]	[Y10]:	1.00
